image_id,variant,,map_original,map_adversarial,SSIM,PSNR,MS-SSIM,FSIM,LPIPS,DISTS,L0,L2,delta_R,delta_G,delta_B
64462,advlogo_eps0.9_iter12,12,0.333333333,0,0.9836686,45.72889719,0.997910857,0.998890817,0.067871436,0.030394673,295929,0.005508961,0.002543236,0.002519425,0.002667163
314182,advlogo_eps0.9_iter3,3,0.166666667,0,0.9963436,50.94331643,0.999543905,0.999699771,0.028829291,0.002163291,189799,0.002732895,0.001256281,0.001243126,0.00127811
68387,advlogo_eps0.9_iter28,28,0.2,0,0.97593075,41.17064343,0.995773196,0.99759078,0.06166587,0.008837581,316817,0.00773921,0.00380068,0.003785096,0.003804473
345466,advlogo_eps0.9_iter93,93,0.125,0,0.95868224,35.12672748,0.993953645,0.992693603,0.099975005,0.015791893,397538,0.017792087,0.009022114,0.009022711,0.009027433
118367,advlogo_eps0.9_iter4,4,0.166666667,0,0.9969551,49.42550944,0.999606609,0.999591708,0.015200621,0.002440751,163649,0.002733627,0.001283218,0.00128049,0.001279552
311303,advlogo_eps0.9_iter1,1,0.083333333,0,0.99891114,57.3263157,0.999875546,0.999919772,0.006536939,0.000467122,48518,0.000709483,0.000336115,0.00033437,0.000338621
163640,advlogo_eps0.9_iter49,49,0.1,0,0.96652144,37.84060361,0.994619012,0.995871842,0.086975798,0.028615713,391302,0.014563773,0.007302853,0.007304365,0.007479629
1490,advlogo_eps0.9_iter1,1,0.333333333,0,0.9997247,57.35055221,0.999971867,0.999888539,0.001548019,0.000931084,33930,0.00054083,0.000252761,0.000249352,0.00025682
329456,advlogo_eps0.9_iter65,65,0.2,0,0.94069767,37.03816863,0.990868688,0.994345248,0.169229627,0.032096863,399931,0.016695488,0.008348944,0.008276314,0.008652166
570471,advlogo_eps0.9_iter37,37,0.049586777,0,0.9681615,38.4530679,0.996007919,0.996489286,0.135506451,0.017090201,392587,0.014305634,0.007272474,0.007241253,0.007260965
260470,advlogo_eps0.9_iter30,30,0.220779221,0,0.98226196,40.53285863,0.997878432,0.997942746,0.077905677,0.007264972,361108,0.009881062,0.00494302,0.004994327,0.004872906
252776,advlogo_eps0.9_iter19,19,0.333333333,0,0.9770587,43.22308681,0.996903598,0.998356819,0.154142141,0.021027327,361304,0.0080263,0.004026221,0.004013581,0.004033266
201072,advlogo_eps0.9_iter12,12,0.279220779,0,0.98867434,44.3208726,0.998492897,0.999088049,0.077325568,0.007777095,329528,0.006813493,0.003337897,0.00334167,0.003369998
18150,advlogo_eps0.9_iter38,38,0.111111111,0,0.9646592,39.69036875,0.994534731,0.995861113,0.109941766,0.024791598,392233,0.012259357,0.006237756,0.006191409,0.006256483
521405,advlogo_eps0.9_iter10,10,0.5,0,0.98930806,45.4618454,0.99842155,0.998811662,0.043869827,0.007308125,335417,0.006531556,0.003220823,0.003200792,0.003250751
518770,advlogo_eps0.9_iter28,28,0.142857143,0,0.974624,40.62488107,0.996480465,0.996293604,0.09022522,0.031288028,315758,0.008954811,0.004437265,0.004429452,0.00449065
201646,advlogo_eps0.9_iter22,22,0.142857143,0,0.98018986,42.58466013,0.996899366,0.997144163,0.068534173,0.037056446,341140,0.007738102,0.00377153,0.003756667,0.00381586
36936,advlogo_eps0.9_iter11,11,0.058823529,0,0.98911905,43.72883934,0.998389184,0.998715997,0.044576969,0.006931663,345025,0.007446351,0.003683379,0.003640791,0.00364801
59044,advlogo_eps0.9_iter15,15,0.128767623,0,0.9791215,43.87145374,0.996966839,0.998661339,0.104429424,0.017090619,348740,0.007583052,0.003737739,0.00372492,0.003800094
172946,advlogo_eps0.9_iter21,21,0.101028139,0,0.97615415,41.42180208,0.996830881,0.997514844,0.130366683,0.024152517,378245,0.010211899,0.005169751,0.005157572,0.005197938
234607,advlogo_eps0.9_iter9,9,0.333333333,0,0.990562,46.23501724,0.998739898,0.999145269,0.032552436,0.009884417,221649,0.004097717,0.001935084,0.001943297,0.001947107
532690,advlogo_eps0.9_iter27,27,0.181818182,0,0.9624149,40.98108645,0.994266629,0.996079147,0.161684468,0.025970936,395834,0.011882217,0.006048228,0.005953318,0.00616102
323895,advlogo_eps0.9_iter41,41,0.333333333,0,0.9659918,39.65056212,0.99443388,0.993773222,0.080493748,0.016695023,381385,0.010967194,0.005485755,0.005498948,0.005532426
384670,advlogo_eps0.9_iter56,56,0.25,0,0.9737568,38.84453287,0.994384229,0.9929775,0.04062755,0.025783837,291800,0.008169033,0.003942323,0.003997661,0.00399211
50326,advlogo_eps0.9_iter36,36,0.333333333,0,0.95532614,40.1011153,0.993644178,0.996279001,0.200743616,0.030083716,391418,0.012143474,0.006213276,0.006165644,0.006281618
162035,advlogo_eps0.9_iter2,2,0.121212121,0,0.99826103,53.46720092,0.999784946,0.999787033,0.008770312,0.002434731,110688,0.001600256,0.000738651,0.000728903,0.000745717
415727,advlogo_eps0.9_iter6,6,0.2,0,0.99350595,47.51175771,0.999252796,0.999360859,0.048001252,0.005115509,278422,0.004748325,0.002291989,0.00227457,0.002305251
46252,advlogo_eps0.9_iter22,22,0.2,0,0.9905204,40.74099433,0.998620152,0.995758712,0.027264822,0.009068549,351489,0.009114632,0.004423559,0.004334353,0.004536751
182021,advlogo_eps0.9_iter9,9,0.212121212,0,0.9894305,47.15371174,0.998687625,0.998868465,0.073960423,0.025368452,194210,0.003802553,0.001860804,0.001862122,0.001869507
231747,advlogo_eps0.9_iter59,59,0.034090909,0,0.9688308,38.36808378,0.99528712,0.996103466,0.071554661,0.009092569,384198,0.012185612,0.006024742,0.006019142,0.006132298
90284,advlogo_eps0.9_iter12,12,0.333333333,0,0.9838092,44.66199724,0.997563243,0.999093175,0.062409468,0.008565545,279244,0.005713461,0.002778918,0.00279441,0.002842849
286553,advlogo_eps0.9_iter6,6,0.0625,0,0.99531555,47.12260085,0.999389529,0.999361217,0.025619246,0.005970597,243743,0.004289784,0.002039896,0.00204359,0.002036946
450686,advlogo_eps0.9_iter10,10,0.333333333,0,0.985137,45.52009211,0.998104274,0.997784317,0.060615018,0.019435644,315114,0.006007412,0.002868063,0.002838535,0.002948214
5060,advlogo_eps0.9_iter4,4,0.5,0,0.99766904,50.26528061,0.999708295,0.99960649,0.007306477,0.005557001,99188,0.001838411,0.000875156,0.00086249,0.000866066
286523,advlogo_eps0.9_iter5,5,0.333333333,0,0.99316955,48.82107038,0.999219835,0.999571979,0.045358621,0.00411588,246273,0.003883879,0.001817204,0.001797947,0.001841711
120420,advlogo_eps0.9_iter109,109,0.077922078,0,0.96662116,35.61636517,0.994503915,0.995692074,0.079538561,0.014218569,380818,0.015301336,0.007654036,0.007659576,0.007763772
579655,advlogo_eps0.9_iter42,42,0.125,0,0.95957303,39.84501645,0.994631529,0.996776462,0.166963965,0.027320087,370453,0.011474285,0.005745626,0.005699222,0.005816311
117908,advlogo_eps0.9_iter1,1,0.142857143,0,0.99893904,57.27246881,0.999866843,0.999912322,0.007615458,0.000355005,44541,0.00064708,0.000304382,0.000301845,0.000307394
297578,advlogo_eps0.9_iter28,28,0.142857143,0,0.9596086,41.41786692,0.995208502,0.996184528,0.210140109,0.024737835,372881,0.010093626,0.005009845,0.004920231,0.005116874
458992,advlogo_eps0.9_iter3,3,0.125,0,0.9962866,51.14530466,0.999533117,0.999679029,0.019383982,0.002633452,164033,0.002457673,0.001133146,0.00113714,0.001168531
164602,advlogo_eps0.9_iter27,27,0.2,0,0.97568744,41.35953203,0.996364832,0.996918797,0.097204112,0.024760127,372100,0.009324424,0.004667689,0.004678619,0.004672082
